Domilisi,Tahap,Sekolah,Jurusan,Kapasitas
Luar,-,SMA NEGERI 1,MIPA,7
Luar,-,SMA NEGERI 1,IPS,7
Luar,-,SMA NEGERI 2,MIPA,7
Luar,-,SMA NEGERI 2,IPS,5
Luar,-,SMA NEGERI 3,MIPA,9
Luar,-,SMA NEGERI 3,IPS,7
Luar,-,SMA NEGERI 4,MIPA,5
Luar,-,SMA NEGERI 4,IPS,2
Luar,-,SMA NEGERI 4,BAHASA,2
Luar,-,SMA NEGERI 5,MIPA,7
Luar,-,SMA NEGERI 5,IPS,7
Luar,-,SMA NEGERI 6,MIPA,9
Luar,-,SMA NEGERI 6,IPS,7
Luar,-,SMA NEGERI 7,MIPA,5
Luar,-,SMA NEGERI 7,IPS,3
Luar,-,SMA NEGERI 8,MIPA,14
Luar,-,SMA NEGERI 8,IPS,2
Luar,-,SMA NEGERI 9,MIPA,7
Luar,-,SMA NEGERI 9,IPS,5
Luar,-,SMA NEGERI 10,MIPA,4
Luar,-,SMA NEGERI 10,IPS,5
Luar,-,SMA NEGERI 11,MIPA,5
Luar,-,SMA NEGERI 11,IPS,5
Luar,-,SMA NEGERI 12,MIPA,5
Luar,-,SMA NEGERI 12,IPS,5
Luar,-,SMA NEGERI 13,MIPA,9
Luar,-,SMA NEGERI 13,IPS,5
Luar,-,SMA NEGERI 14,MIPA,9
Luar,-,SMA NEGERI 14,IPS,3
Luar,-,SMA NEGERI 15,MIPA,5
Luar,-,SMA NEGERI 15,IPS,5
Luar,-,SMA NEGERI 16,MIPA,7
Luar,-,SMA NEGERI 16,IPS,4
Luar,-,SMA NEGERI 17,MIPA,3
Luar,-,SMA NEGERI 17,IPS,5
Luar,-,SMA NEGERI 18,MIPA,5
Luar,-,SMA NEGERI 18,IPS,5
Luar,-,SMA NEGERI 18,BAHASA,2
Luar,-,SMA NEGERI 19,MIPA,5
Luar,-,SMA NEGERI 19,IPS,5
Luar,-,SMA NEGERI 20,MIPA,3
Luar,-,SMA NEGERI 20,IPS,5
Luar,-,SMA NEGERI 21,MIPA,7
