Provinsi,Domisili,Tahun,Tahap,Sekolah,Jurusan,Pilihan,Peminat
Jakarta,Dalam,2018,1,SMA NEGERI 1,IPA,Pilihan 1,205
Jakarta,Dalam,2018,1,SMA NEGERI 1,IPA,Pilihan 2,103
Jakarta,Dalam,2018,1,SMA NEGERI 1,IPA,Pilihan 3,71
Jakarta,Dalam,2018,1,SMA NEGERI 1,IPS,Pilihan 1,205
Jakarta,Dalam,2018,1,SMA NEGERI 1,IPS,Pilihan 2,103
Jakarta,Dalam,2018,1,SMA NEGERI 1,IPS,Pilihan 3,71
Jakarta,Dalam,2018,1,SMA NEGERI 2,IPA,Pilihan 1,243
Jakarta,Dalam,2018,1,SMA NEGERI 2,IPA,Pilihan 2,41
Jakarta,Dalam,2018,1,SMA NEGERI 2,IPA,Pilihan 3,21
Jakarta,Dalam,2018,1,SMA NEGERI 2,IPS,Pilihan 1,243
Jakarta,Dalam,2018,1,SMA NEGERI 2,IPS,Pilihan 2,41
Jakarta,Dalam,2018,1,SMA NEGERI 2,IPS,Pilihan 3,21
Jakarta,Dalam,2018,1,SMA NEGERI 3,IPA,Pilihan 1,159
Jakarta,Dalam,2018,1,SMA NEGERI 3,IPA,Pilihan 2,73
Jakarta,Dalam,2018,1,SMA NEGERI 3,IPA,Pilihan 3,72
Jakarta,Dalam,2018,1,SMA NEGERI 3,IPS,Pilihan 1,159
Jakarta,Dalam,2018,1,SMA NEGERI 3,IPS,Pilihan 2,73
Jakarta,Dalam,2018,1,SMA NEGERI 3,IPS,Pilihan 3,72
Jakarta,Dalam,2018,1,SMA NEGERI 4,IPA,Pilihan 1,74
Jakarta,Dalam,2018,1,SMA NEGERI 4,IPA,Pilihan 2,85
Jakarta,Dalam,2018,1,SMA NEGERI 4,IPA,Pilihan 3,54
Jakarta,Dalam,2018,1,SMA NEGERI 4,IPS,Pilihan 1,74
Jakarta,Dalam,2018,1,SMA NEGERI 4,IPS,Pilihan 2,85
Jakarta,Dalam,2018,1,SMA NEGERI 4,IPS,Pilihan 3,54
Jakarta,Dalam,2018,1,SMA NEGERI 4,BAHASA,Pilihan 1,74
Jakarta,Dalam,2018,1,SMA NEGERI 4,BAHASA,Pilihan 2,85
Jakarta,Dalam,2018,1,SMA NEGERI 4,BAHASA,Pilihan 3,54
Jakarta,Dalam,2018,1,SMA NEGERI 5,IPA,Pilihan 1,131
Jakarta,Dalam,2018,1,SMA NEGERI 5,IPA,Pilihan 2,94
Jakarta,Dalam,2018,1,SMA NEGERI 5,IPA,Pilihan 3,88
Jakarta,Dalam,2018,1,SMA NEGERI 5,IPS,Pilihan 1,131
Jakarta,Dalam,2018,1,SMA NEGERI 5,IPS,Pilihan 2,94
Jakarta,Dalam,2018,1,SMA NEGERI 5,IPS,Pilihan 3,88
Jakarta,Dalam,2018,1,SMA NEGERI 6,IPA,Pilihan 1,147
Jakarta,Dalam,2018,1,SMA NEGERI 6,IPA,Pilihan 2,190
Jakarta,Dalam,2018,1,SMA NEGERI 6,IPA,Pilihan 3,110
Jakarta,Dalam,2018,1,SMA NEGERI 6,IPS,Pilihan 1,147
Jakarta,Dalam,2018,1,SMA NEGERI 6,IPS,Pilihan 2,190
