Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Jakarta,2018,Dalam,1,SMAN 1,IPA,115
Jakarta,2018,Dalam,1,SMAN 1,IPS,67
Jakarta,2018,Dalam,1,SMAN 2,IPA,89
Jakarta,2018,Dalam,1,SMAN 2,IPS,67
Jakarta,2018,Dalam,1,SMAN 3,IPA,105
Jakarta,2018,Dalam,1,SMAN 3,IPS,83
Jakarta,2018,Dalam,1,SMAN 4,IPA,61
Jakarta,2018,Dalam,1,SMAN 4,IPS,41
Jakarta,2018,Dalam,1,SMAN 4,BAHASA,20
Jakarta,2018,Dalam,1,SMAN 5,IPA,86
Jakarta,2018,Dalam,1,SMAN 5,IPS,76
Jakarta,2018,Dalam,1,SMAN 6,IPA,104
Jakarta,2018,Dalam,1,SMAN 6,IPS,84
Jakarta,2018,Dalam,1,SMAN 7,IPA,90
Jakarta,2018,Dalam,1,SMAN 7,IPS,65
Jakarta,2018,Dalam,1,SMAN 8,IPA,188
Jakarta,2018,Dalam,1,SMAN 8,IPS,21
Jakarta,2018,Dalam,1,SMAN 9,IPA,83
Jakarta,2018,Dalam,1,SMAN 9,IPS,62
Jakarta,2018,Dalam,1,SMAN 10,IPA,44
Jakarta,2018,Dalam,1,SMAN 10,IPS,62
Jakarta,2018,Dalam,1,SMAN 11,IPA,66
Jakarta,2018,Dalam,1,SMAN 11,IPS,67
Jakarta,2018,Dalam,1,SMAN 12,IPA,65
Jakarta,2018,Dalam,1,SMAN 12,IPS,66
Jakarta,2018,Dalam,1,SMAN 13,IPA,107
Jakarta,2018,Dalam,1,SMAN 13,IPS,66
Jakarta,2018,Dalam,1,SMAN 14,IPA,112
Jakarta,2018,Dalam,1,SMAN 14,IPS,45
Jakarta,2018,Dalam,1,SMAN 15,IPA,65
Jakarta,2018,Dalam,1,SMAN 15,IPS,66
Jakarta,2018,Dalam,1,SMAN 16,IPA,90
Jakarta,2018,Dalam,1,SMAN 16,IPS,62
Jakarta,2018,Dalam,1,SMAN 17,IPA,89
