Provinsi,Tahun,Jalur,Tahap,Sekolah,Jurusan,Indikator,Nilai Akhir
Yogyakarta,2017,Reguler,-,SMAN 1 Bantul,-,Terendah,360.00
Yogyakarta,2017,Reguler,-,SMAN 1 Bantul,-,Tertinggi,405.00
Yogyakarta,2017,Reguler,-,SMAN 1 Bantul,-,Rata - Rata,381.06
Yogyakarta,2017,Reguler,-,SMAN 2 Bantul,-,Terendah,335.50
Yogyakarta,2017,Reguler,-,SMAN 2 Bantul,-,Tertinggi,392.50
Yogyakarta,2017,Reguler,-,SMAN 2 Bantul,-,Rata - Rata,366.45
Yogyakarta,2017,Reguler,-,SMAN 1 Wonosari,-,Terendah,346.50
Yogyakarta,2017,Reguler,-,SMAN 1 Wonosari,-,Tertinggi,405.00
Yogyakarta,2017,Reguler,-,SMAN 1 Wonosari,-,Rata - Rata,375.79
Yogyakarta,2017,Reguler,-,SMAN 1 Patuk,-,Terendah,207.00
Yogyakarta,2017,Reguler,-,SMAN 1 Patuk,-,Tertinggi,354.00
Yogyakarta,2017,Reguler,-,SMAN 1 Patuk,-,Rata - Rata,253.36
Yogyakarta,2017,Reguler,-,SMAN 2 Wates,-,Terendah,290.00
Yogyakarta,2017,Reguler,-,SMAN 2 Wates,-,Tertinggi,387.00
Yogyakarta,2017,Reguler,-,SMAN 2 Wates,-,Rata - Rata,347.45
Yogyakarta,2017,Reguler,-,SMAN 1 Temon,-,Terendah,242.00
Yogyakarta,2017,Reguler,-,SMAN 1 Temon,-,Tertinggi,346.50
Yogyakarta,2017,Reguler,-,SMAN 1 Temon,-,Rata - Rata,278.03
Yogyakarta,2017,Reguler,-,SMAN 1 Depok,-,Terendah,335.50
Yogyakarta,2017,Reguler,-,SMAN 1 Depok,-,Tertinggi,399.50
Yogyakarta,2017,Reguler,-,SMAN 1 Depok,-,Rata - Rata,358.80
Yogyakarta,2017,Reguler,-,SMAN 1 Ngaglik,-,Terendah,283.50
Yogyakarta,2017,Reguler,-,SMAN 1 Ngaglik,-,Tertinggi,344.00
Yogyakarta,2017,Reguler,-,SMAN 1 Ngaglik,-,Rata - Rata,299.45
Yogyakarta,2017,Reguler,-,SMAN 1 Yogya,-,Terendah,347.50
Yogyakarta,2017,Reguler,-,SMAN 1 Yogya,-,Tertinggi,409.50
Yogyakarta,2017,Reguler,-,SMAN 1 Yogya,-,Rata - Rata,391.62
Yogyakarta,2017,Reguler,-,SMAN 2 Yogya,-,Terendah,326.50
