Website,Kategori,Tahun,Bulan,Hari,Jam,Menit,Nama Toko,Nama Barang,Jumlah Transaksi,Transaksi Sukses,Barang Terkirim,Dilihat,Lokasi,Kondisi
Tokopedia,Komputer & Aksesoris,2018,9,3,15,57,Kenkez-com,Transcend Storejet 25M3 Hardisk Eksternal 1TB USB3.0 - Iron Gray [FS],0,0,0,618,DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,58,Electronicmart,Mouse wireless Fujitsu FR 330 6D/Fujitsu Wireless Mouse FR330 6D,0,0,0,874,DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,58,karuniaonline,SANDISK FLASH DISK USB OTG m3.0 32GB/UP TO 150 MB/S (Spesial Ramadhan),"1,7rb",99.52%,"2,2rb","32,3rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,58,Das Livia Computer,Mouse Wireless Logitech M331 - Silent Plus Mouse (No Clickling Sound) - BLACK,"1,4rb",99.57%,"1,7rb","19,5rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,58,SnD Online,TP-Link Wireless USB Wifi TPlink TL-WN725N - 150Mbps Nano Receiver,"1,1rb",98.51%,"1,3rb","18,7rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,58,stardisc,Printer HP Deskjet 2135 Ink Advantage - New Original,"4,6rb",99.32%,"4,6rb","146,3rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,59,Edison Comp,Batere Baterai Mifi 4g Huawei E5577 E5573 Bolt XL Go [ORIGINAL HUAWEI],"1,3rb",99.08%,"2,2rb","23,5rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,59,Seagate Official Store,Seagate Expansion Harddisk Eksternal 1TB - Hitam,"1,6rb",99.63%,"1,7rb","60,2rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,59,Uniq Computer,Kartu Perdana XL GO Home Router / Kartu Internet XL Home 240GB,"1,1rb",99.44%,"1,2rb","38,6rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,59,SnD Online,TP-Link TL-WA850RE Penguat Signal TPLINK 850RE Wifi Extender/ Repeater,"1,1rb",98.88%,"1,1rb","31,1rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,15,59,Das Livia Computer,"Tinta HP 680 Black and Colour Original Ink Cartridge - For 2135, 3635","3,1rb",99.39%,"7,6rb","23,4rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,0,XRcom,Printer Epson L360,2rb,98.9%,2rb,"50,3rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,0,SnD Online,TPLink Wireless USB WiFi Adapter Tp Link TL-WN722N with antena,"1,8rb",97.99%,2rb,"46,9rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,0,printerbagus dot com,HP DeskJet Ink Advantage 2135 All-in-One Printer,"1,3rb",99.14%,"1,3rb","63,3rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,0,Zanka Perdana,"ORICO Case External Hardisk 2.5"" SATA Enclosure 2139U3 Transparent - Putih","1,8rb",99.49%,"2,2rb","30,9rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,0,SanDisk Official,SanDisk Ultra Flair USB 3.0 130MB/s Flashdisk CZ73 16GB,1rb,100%,"1,4rb","120,3rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,1,Ridista,Logitech M170 Mouse Wireles Original ( L066 ) Warna Hitam,"2,7rb",99.7%,"4,2rb","29,2rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,1,Edison Comp,Mifi Wireless Router XL Go Modem Wifi 4G Unlock All GSM [BEST DEAL],"2,3rb",99.2%,"2,9rb","126,5rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,1,Edison Comp,Mifi Modem Wifi 4G XL Go Movimax MV003 Free 60Gb 60Hari [BEST SELLER],"3,1rb",99.13%,"3,8rb","122,2rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,1,Y2R Cell,XIAOMI Mi WiFi Amplifier 2 Repeater Extender USB Wireless 300Mbps - Putih,"2,5rb",99.57%,"3,2rb","65,7rb",Kota Surabaya,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,1,REFORMASI COMPUTER,TP-LINK TL-WR 840N 300MBps Wireless Router,"2,3rb",99.36%,"2,9rb",39rb,DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,2,Das Livia Computer,Mouse Logitech M170 Wireless,"1,5rb",99.61%,"2,4rb","17,9rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,2,cxshop,SanDisk Ultra Flair USB 3.0 150MB/s Flashdisk CZ73 32GB,"1,3rb",99.29%,"1,9rb","24,9rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,2,Mitra Media Com,MAXELL DVD-R 16X ROLL 50+5,2rb,99.34%,4rb,"20,8rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,2,akhut,TP-LINK TPLINK TL-WN 725N Usb wifi mini Wireless Adapter,"3,4rb",99.28%,"4,5rb","50,8rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,2,Edison Comp,Mifi Modem Wifi 4G Smartfren Andromax M3Y M3Z Free Perdana Kuota 30Gb,"6,9rb",99.28%,"8,9rb","206,5rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,3,karuniaonline,SANDISK FLASHDISK USB 3 OTG TYPE C 32GB /UP TO 130 MB/S,"1,2rb",99.1%,"1,4rb","42,3rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,3,Komputeronline,HP 680 Black/Colour Catridge Printer Tinta 100% Original - Hitam,"1,1rb",99.53%,"2,3rb","8,7rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,3,Golden Mouse,Keyboard Mouse Wireless Logitech MK235,"1,3rb",99.53%,"1,4rb",52rb,DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,3,dPC,Mini Portable Bluetooth Thermal Receipt Printer [Zjiang ZJ-5802],945,99.47%,"1,3rb","15,3rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,4,Edison Comp,Mifi Modem Wifi Router 4G UNLOCK Huawei E5673 Free Telkomsel Kuota14Gb - Putih,"1,9rb",99.25%,"2,4rb","76,8rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,4,Kenkez-com,"WD My Passport New Design Hardisk Eksternal 1TB 2.5"" USB3.0 [PCPN] - Kuning","1,4rb",99.21%,"1,5rb","49,9rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,4,Eagle High Technology,Logitech Wireless Mouse & Keyboard Bundle Combo MK220 - Hitam,"3,7rb",99.65%,"4,3rb","75,9rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,4,Oktha Store,"KABEL HDMI TO HDMI 1,5 METER HIGH QUALITY & HIGH SPEED","1,5rb",99.39%,"2,2rb","20,5rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,4,RaffaCard,MIFI / MODEM WIFI ANDROMAX M3Y M3Z SMARTFREN 4G - Emas,"1,1rb",98.21%,"1,2rb","74,7rb",Kota Tangerang Selatan,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,5,Alkhalief Shop,Tinta Printer Original Epson 664 T664 Black / Hitam T6641 L100 L110,877,99.77%,"2,2rb","11,9rb",Kab. Tangerang,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,5,King Solution,Ipega Gamepad Bluetooth PG 9023 / Ipega 9023 Gamepad Bluetooth Joystik,1rb,99.31%,"1,1rb","40,6rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,5,House of Geeks,Monitor LED LG 19M38A 19',859,99.19%,1rb,"52,2rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,5,Data Point Cellindo,Verbatim Type C Hub USB 3 Charging UltraSlim Portable Macbook,1rb,97.22%,1rb,"26,8rb",DKI Jakarta,Baru
Tokopedia,Komputer & Aksesoris,2018,9,3,16,5,Vention Indonesia,[3M - M02] Vention Kabel HDMI v2.0 Ultra HD 4K,,,,,DKI Jakarta,Baru
