Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Dalam,1,SMA NEGERI 1,IPA,50
Dalam,1,SMA NEGERI 1,IPS,50
Dalam,1,SMA NEGERI 2,IPA,50
Dalam,1,SMA NEGERI 2,IPS,38
Dalam,1,SMA NEGERI 3,IPA,63
Dalam,1,SMA NEGERI 3,IPS,49
Dalam,1,SMA NEGERI 4,IPA,37
Dalam,1,SMA NEGERI 4,IPS,12
Dalam,1,SMA NEGERI 4,BAHASA,12
Dalam,1,SMA NEGERI 5,IPA,50
Dalam,1,SMA NEGERI 5,IPS,50
Dalam,1,SMA NEGERI 6,IPA,60
Dalam,1,SMA NEGERI 6,IPS,47
Dalam,1,SMA NEGERI 7,IPA,38
Dalam,1,SMA NEGERI 7,IPS,25
Dalam,1,SMA NEGERI 8,IPA,121
Dalam,1,SMA NEGERI 8,IPS,16
Dalam,1,SMA NEGERI 9,IPA,56
Dalam,1,SMA NEGERI 9,IPS,41
Dalam,1,SMA NEGERI 10,IPA,25
Dalam,1,SMA NEGERI 10,IPS,37
Dalam,1,SMA NEGERI 11,IPA,37
Dalam,1,SMA NEGERI 11,IPS,37
Dalam,1,SMA NEGERI 12,IPA,48
Dalam,1,SMA NEGERI 12,IPS,47
Dalam,1,SMA NEGERI 13,IPA,68
Dalam,1,SMA NEGERI 13,IPS,41
Dalam,1,SMA NEGERI 14,IPA,63
Dalam,1,SMA NEGERI 14,IPS,25
Dalam,1,SMA NEGERI 15,IPA,36
Dalam,1,SMA NEGERI 15,IPS,36
Dalam,1,SMA NEGERI 16,IPA,50
Dalam,1,SMA NEGERI 16,IPS,37
Dalam,1,SMA NEGERI 17,IPA,22
Dalam,1,SMA NEGERI 17,IPS,34
Dalam,1,SMA NEGERI 18,IPA,37
Dalam,1,SMA NEGERI 18,IPS,37
Dalam,1,SMA NEGERI 18,BAHASA,12
Dalam,1,SMA NEGERI 19,IPA,37
Dalam,1,SMA NEGERI 19,IPS,37
Dalam,1,SMA NEGERI 20,IPA,25
Dalam,1,SMA NEGERI 20,IPS,37
Dalam,1,SMA NEGERI 21,IPA,51
Dalam,1,SMA NEGERI 21,IPS,50
Dalam,1,SMA NEGERI 22,IPA,50
Dalam,1,SMA NEGERI 22,IPS,49
Dalam,1,SMA NEGERI 23,IPA,48
Dalam,1,SMA NEGERI 23,IPS,49
Dalam,1,SMA NEGERI 24,IPA,36
Dalam,1,SMA NEGERI 24,IPS,23
Dalam,1,SMA NEGERI 25,IPA,25
Dalam,1,SMA NEGERI 25,IPS,36
Dalam,1,SMA NEGERI 26,IPA,41
Dalam,1,SMA NEGERI 26,IPS,41
Dalam,1,SMA NEGERI 27,IPA,47
Dalam,1,SMA NEGERI 27,IPS,62
Dalam,1,SMA NEGERI 28,IPA,64
Dalam,1,SMA NEGERI 28,IPS,27
Dalam,1,SMA NEGERI 29,IPA,49
Dalam,1,SMA NEGERI 29,IPS,36
Dalam,1,SMA NEGERI 30,IPA,62
Dalam,1,SMA NEGERI 30,IPS,61
Dalam,1,SMA NEGERI 31,IPA,49
Dalam,1,SMA NEGERI 31,IPS,49
Dalam,1,SMA NEGERI 31,BAHASA,12
Dalam,1,SMA NEGERI 32,IPA,49
Dalam,1,SMA NEGERI 32,IPS,42
Dalam,1,SMA NEGERI 33,IPA,50
Dalam,1,SMA NEGERI 33,IPS,38
Dalam,1,SMA NEGERI 33,BAHASA,13
Dalam,1,SMA NEGERI 34,IPA,63
Dalam,1,SMA NEGERI 34,IPS,38
Dalam,1,SMA NEGERI 35,IPA,24
Dalam,1,SMA NEGERI 35,IPS,37
Dalam,1,SMA NEGERI 35,BAHASA,12
Dalam,1,SMA NEGERI 36,IPA,47
Dalam,1,SMA NEGERI 36,IPS,47
Dalam,1,SMA NEGERI 37,IPA,50
Dalam,1,SMA NEGERI 37,IPS,37
Dalam,1,SMA NEGERI 38,IPA,50
Dalam,1,SMA NEGERI 38,IPS,38
Dalam,1,SMA NEGERI 39,IPA,77
Dalam,1,SMA NEGERI 39,IPS,32
Dalam,1,SMA NEGERI 40,IPA,40
Dalam,1,SMA NEGERI 40,IPS,52
Dalam,1,SMA NEGERI 41,IPA,37
Dalam,1,SMA NEGERI 41,IPS,49
Dalam,1,SMA NEGERI 42,IPA,53
Dalam,1,SMA NEGERI 42,IPS,35
Dalam,1,SMA NEGERI 43,IPA,47
Dalam,1,SMA NEGERI 43,IPS,47
Dalam,1,SMA NEGERI 44,IPA,49
Dalam,1,SMA NEGERI 44,IPS,36
Dalam,1,SMA NEGERI 45,IPA,49
Dalam,1,SMA NEGERI 45,IPS,49
Dalam,1,SMA NEGERI 46,IPA,46
Dalam,1,SMA NEGERI 46,IPS,56
Dalam,1,SMA NEGERI 47,IPA,50
Dalam,1,SMA NEGERI 47,IPS,50
Dalam,1,SMA NEGERI 48,IPA,62
Dalam,1,SMA NEGERI 48,IPS,37
Dalam,1,SMA NEGERI 49,IPA,54
Dalam,1,SMA NEGERI 49,IPS,28
Dalam,1,SMA NEGERI 50,IPA,37
Dalam,1,SMA NEGERI 50,IPS,51
Dalam,1,SMA NEGERI 51,IPA,49
Dalam,1,SMA NEGERI 51,IPS,48
Dalam,1,SMA NEGERI 52,IPA,64
Dalam,1,SMA NEGERI 52,IPS,65
Dalam,1,SMA NEGERI 53,IPA,49
Dalam,1,SMA NEGERI 53,IPS,37
Dalam,1,SMA NEGERI 54,IPA,50
Dalam,1,SMA NEGERI 54,IPS,49
Dalam,1,SMA NEGERI 55,IPA,49
Dalam,1,SMA NEGERI 55,IPS,49
Dalam,1,SMA NEGERI 56,IPA,25
Dalam,1,SMA NEGERI 56,IPS,25
Dalam,1,SMA NEGERI 56,BAHASA,13
Dalam,1,SMA NEGERI 57,IPA,38
Dalam,1,SMA NEGERI 57,IPS,38
Dalam,1,SMA NEGERI 58,IPA,63
Dalam,1,SMA NEGERI 58,IPS,63
Dalam,1,SMA NEGERI 59,IPA,58
Dalam,1,SMA NEGERI 59,IPS,44
Dalam,1,SMA NEGERI 60,IPA,43
Dalam,1,SMA NEGERI 60,IPS,56
Dalam,1,SMA NEGERI 61,IPA,50
Dalam,1,SMA NEGERI 61,IPS,25
Dalam,1,SMA NEGERI 62,IPA,47
Dalam,1,SMA NEGERI 62,IPS,46
Dalam,1,SMA NEGERI 63,IPA,47
Dalam,1,SMA NEGERI 63,IPS,47
Dalam,1,SMA NEGERI 64,IPA,38
Dalam,1,SMA NEGERI 64,IPS,50
Dalam,1,SMA NEGERI 65,IPA,37
Dalam,1,SMA NEGERI 65,IPS,25
Dalam,1,SMA NEGERI 66,IPA,37
Dalam,1,SMA NEGERI 66,IPS,47
Dalam,1,SMA NEGERI 67,IPA,53
Dalam,1,SMA NEGERI 67,IPS,57
Dalam,1,SMA NEGERI 68,IPA,76
Dalam,1,SMA NEGERI 68,IPS,49
Dalam,1,SMA NEGERI 70,IPA,123
Dalam,1,SMA NEGERI 70,IPS,31
Dalam,1,SMA NEGERI 71,IPA,53
Dalam,1,SMA NEGERI 71,IPS,55
Dalam,1,SMA NEGERI 72,IPA,49
Dalam,1,SMA NEGERI 72,IPS,37
Dalam,1,SMA NEGERI 72,BAHASA,12
Dalam,1,SMA NEGERI 73,IPA,25
Dalam,1,SMA NEGERI 73,IPS,49
Dalam,1,SMA NEGERI 74,IPA,37
Dalam,1,SMA NEGERI 74,IPS,48
Dalam,1,SMA NEGERI 75,IPA,51
Dalam,1,SMA NEGERI 75,IPS,37
Dalam,1,SMA NEGERI 76,IPA,37
Dalam,1,SMA NEGERI 76,IPS,23
Dalam,1,SMA NEGERI 77,IPA,40
Dalam,1,SMA NEGERI 77,IPS,40
Dalam,1,SMA NEGERI 78,IPA,112
Dalam,1,SMA NEGERI 78,IPS,30
Dalam,1,SMA NEGERI 78,BAHASA,15
Dalam,1,SMA NEGERI 79,IPA,30
Dalam,1,SMA NEGERI 79,IPS,37
Dalam,1,SMA NEGERI 80,IPA,50
Dalam,1,SMA NEGERI 80,IPS,36
Dalam,1,SMA NEGERI 81,IPA,70
Dalam,1,SMA NEGERI 81,IPS,27
Dalam,1,SMA NEGERI 82,IPA,51
Dalam,1,SMA NEGERI 82,IPS,49
Dalam,1,SMA NEGERI 83,IPA,24
Dalam,1,SMA NEGERI 83,IPS,38
