Provinsi,Tahun,Domisili,Tahap,Sekolah,Jurusan,Kapasitas
Jakarta,2016,Dalam,2,SMA NEGERI 1,IPA,82
Jakarta,2016,Dalam,2,SMA NEGERI 1,IPS,83
Jakarta,2016,Dalam,2,SMA NEGERI 2,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 2,IPS,60
Jakarta,2016,Dalam,2,SMA NEGERI 3,IPA,103
Jakarta,2016,Dalam,2,SMA NEGERI 3,IPS,79
Jakarta,2016,Dalam,2,SMA NEGERI 4,IPA,61
Jakarta,2016,Dalam,2,SMA NEGERI 4,IPS,41
Jakarta,2016,Dalam,2,SMA NEGERI 4,BAHASA,22
Jakarta,2016,Dalam,2,SMA NEGERI 5,IPA,81
Jakarta,2016,Dalam,2,SMA NEGERI 5,IPS,80
Jakarta,2016,Dalam,2,SMA NEGERI 6,IPA,99
Jakarta,2016,Dalam,2,SMA NEGERI 6,IPS,80
Jakarta,2016,Dalam,2,SMA NEGERI 7,IPA,76
Jakarta,2016,Dalam,2,SMA NEGERI 7,IPS,58
Jakarta,2016,Dalam,2,SMA NEGERI 8,IPA,173
Jakarta,2016,Dalam,2,SMA NEGERI 8,IPS,19
Jakarta,2016,Dalam,2,SMA NEGERI 9,IPA,77
Jakarta,2016,Dalam,2,SMA NEGERI 9,IPS,57
Jakarta,2016,Dalam,2,SMA NEGERI 10,IPA,43
Jakarta,2016,Dalam,2,SMA NEGERI 10,IPS,55
Jakarta,2016,Dalam,2,SMA NEGERI 11,IPA,60
Jakarta,2016,Dalam,2,SMA NEGERI 11,IPS,56
Jakarta,2016,Dalam,2,SMA NEGERI 12,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 12,IPS,57
Jakarta,2016,Dalam,2,SMA NEGERI 13,IPA,117
Jakarta,2016,Dalam,2,SMA NEGERI 13,IPS,79
Jakarta,2016,Dalam,2,SMA NEGERI 14,IPA,97
Jakarta,2016,Dalam,2,SMA NEGERI 14,IPS,39
Jakarta,2016,Dalam,2,SMA NEGERI 15,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 15,IPS,56
Jakarta,2016,Dalam,2,SMA NEGERI 16,IPA,80
Jakarta,2016,Dalam,2,SMA NEGERI 16,IPS,61
Jakarta,2016,Dalam,2,SMA NEGERI 17,IPA,84
Jakarta,2016,Dalam,2,SMA NEGERI 17,IPS,104
Jakarta,2016,Dalam,2,SMA NEGERI 18,IPA,62
Jakarta,2016,Dalam,2,SMA NEGERI 18,IPS,63
Jakarta,2016,Dalam,2,SMA NEGERI 18,BAHASA,20
Jakarta,2016,Dalam,2,SMA NEGERI 19,IPA,44
Jakarta,2016,Dalam,2,SMA NEGERI 19,IPS,69
Jakarta,2016,Dalam,2,SMA NEGERI 20,IPA,38
Jakarta,2016,Dalam,2,SMA NEGERI 20,IPS,60
Jakarta,2016,Dalam,2,SMA NEGERI 21,IPA,103
Jakarta,2016,Dalam,2,SMA NEGERI 21,IPS,39
Jakarta,2016,Dalam,2,SMA NEGERI 22,IPA,79
Jakarta,2016,Dalam,2,SMA NEGERI 22,IPS,81
Jakarta,2016,Dalam,2,SMA NEGERI 23,IPA,62
Jakarta,2016,Dalam,2,SMA NEGERI 23,IPS,74
Jakarta,2016,Dalam,2,SMA NEGERI 24,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 24,IPS,24
Jakarta,2016,Dalam,2,SMA NEGERI 25,IPA,41
Jakarta,2016,Dalam,2,SMA NEGERI 25,IPS,58
Jakarta,2016,Dalam,2,SMA NEGERI 26,IPA,62
Jakarta,2016,Dalam,2,SMA NEGERI 26,IPS,63
Jakarta,2016,Dalam,2,SMA NEGERI 27,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 27,IPS,81
Jakarta,2016,Dalam,2,SMA NEGERI 28,IPA,87
Jakarta,2016,Dalam,2,SMA NEGERI 28,IPS,35
Jakarta,2016,Dalam,2,SMA NEGERI 29,IPA,78
Jakarta,2016,Dalam,2,SMA NEGERI 29,IPS,53
Jakarta,2016,Dalam,2,SMA NEGERI 30,IPA,78
Jakarta,2016,Dalam,2,SMA NEGERI 30,IPS,77
Jakarta,2016,Dalam,2,SMA NEGERI 31,IPA,100
Jakarta,2016,Dalam,2,SMA NEGERI 31,IPS,103
Jakarta,2016,Dalam,2,SMA NEGERI 31,BAHASA,18
Jakarta,2016,Dalam,2,SMA NEGERI 32,IPA,79
Jakarta,2016,Dalam,2,SMA NEGERI 32,IPS,79
Jakarta,2016,Dalam,2,SMA NEGERI 33,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 33,IPS,41
Jakarta,2016,Dalam,2,SMA NEGERI 33,BAHASA,17
Jakarta,2016,Dalam,2,SMA NEGERI 34,IPA,99
Jakarta,2016,Dalam,2,SMA NEGERI 34,IPS,58
Jakarta,2016,Dalam,2,SMA NEGERI 35,IPA,32
Jakarta,2016,Dalam,2,SMA NEGERI 35,IPS,62
Jakarta,2016,Dalam,2,SMA NEGERI 35,BAHASA,18
Jakarta,2016,Dalam,2,SMA NEGERI 36,IPA,103
Jakarta,2016,Dalam,2,SMA NEGERI 36,IPS,71
Jakarta,2016,Dalam,2,SMA NEGERI 37,IPA,78
Jakarta,2016,Dalam,2,SMA NEGERI 37,IPS,60
Jakarta,2016,Dalam,2,SMA NEGERI 38,IPA,79
Jakarta,2016,Dalam,2,SMA NEGERI 38,IPS,59
Jakarta,2016,Dalam,2,SMA NEGERI 39,IPA,94
Jakarta,2016,Dalam,2,SMA NEGERI 39,IPS,38
Jakarta,2016,Dalam,2,SMA NEGERI 40,IPA,57
Jakarta,2016,Dalam,2,SMA NEGERI 40,IPS,62
Jakarta,2016,Dalam,2,SMA NEGERI 41,IPA,64
Jakarta,2016,Dalam,2,SMA NEGERI 41,IPS,66
Jakarta,2016,Dalam,2,SMA NEGERI 42,IPA,85
Jakarta,2016,Dalam,2,SMA NEGERI 42,IPS,50
Jakarta,2016,Dalam,2,SMA NEGERI 43,IPA,62
Jakarta,2016,Dalam,2,SMA NEGERI 43,IPS,59
Jakarta,2016,Dalam,2,SMA NEGERI 44,IPA,75
Jakarta,2016,Dalam,2,SMA NEGERI 44,IPS,54
Jakarta,2016,Dalam,2,SMA NEGERI 45,IPA,80
Jakarta,2016,Dalam,2,SMA NEGERI 45,IPS,74
Jakarta,2016,Dalam,2,SMA NEGERI 46,IPA,79
Jakarta,2016,Dalam,2,SMA NEGERI 46,IPS,101
Jakarta,2016,Dalam,2,SMA NEGERI 47,IPA,77
Jakarta,2016,Dalam,2,SMA NEGERI 47,IPS,77
Jakarta,2016,Dalam,2,SMA NEGERI 48,IPA,96
Jakarta,2016,Dalam,2,SMA NEGERI 48,IPS,60
Jakarta,2016,Dalam,2,SMA NEGERI 49,IPA,77
Jakarta,2016,Dalam,2,SMA NEGERI 49,IPS,38
Jakarta,2016,Dalam,2,SMA NEGERI 50,IPA,60
Jakarta,2016,Dalam,2,SMA NEGERI 50,IPS,78
Jakarta,2016,Dalam,2,SMA NEGERI 51,IPA,82
Jakarta,2016,Dalam,2,SMA NEGERI 51,IPS,80
Jakarta,2016,Dalam,2,SMA NEGERI 52,IPA,93
Jakarta,2016,Dalam,2,SMA NEGERI 52,IPS,93
Jakarta,2016,Dalam,2,SMA NEGERI 53,IPA,81
Jakarta,2016,Dalam,2,SMA NEGERI 53,IPS,57
Jakarta,2016,Dalam,2,SMA NEGERI 54,IPA,81
Jakarta,2016,Dalam,2,SMA NEGERI 54,IPS,79
Jakarta,2016,Dalam,2,SMA NEGERI 55,IPA,80
Jakarta,2016,Dalam,2,SMA NEGERI 55,IPS,77
Jakarta,2016,Dalam,2,SMA NEGERI 56,IPA,59
Jakarta,2016,Dalam,2,SMA NEGERI 56,IPS,59
Jakarta,2016,Dalam,2,SMA NEGERI 56,BAHASA,20
Jakarta,2016,Dalam,2,SMA NEGERI 57,IPA,60
Jakarta,2016,Dalam,2,SMA NEGERI 57,IPS,61
Jakarta,2016,Dalam,2,SMA NEGERI 58,IPA,77
Jakarta,2016,Dalam,2,SMA NEGERI 58,IPS,76
Jakarta,2016,Dalam,2,SMA NEGERI 59,IPA,78
Jakarta,2016,Dalam,2,SMA NEGERI 59,IPS,57
Jakarta,2016,Dalam,2,SMA NEGERI 60,IPA,86
Jakarta,2016,Dalam,2,SMA NEGERI 60,IPS,82
